2006,-5.9,-1.9,0.7,9.7,14,18.3,23.2,17,16.2,11.2,6.6,4.1
2007,4.8,2.7,6.5,11,15.4,19.2,19.1,18.8,12.9,8.5,2.8,1
2008,2.8,4,4.5,8.8,14.4,18.7,19.8,18.7,13.6,9.7,6,1.9
2009,-2.5,0.1,4.5,12.2,14.2,15.6,19.4,19.4,15.6,7.9,6.8,-0.5
2010,-5.8,-0.9,4,9.4,12.6,17.6,21.3,18.9,12.7,6.9,6.2,-5.1
2011,0.5,-1.6,4.4,11.7,14.5,18.9,18,19.2,15.8,9.5,3.8,3.8
2012,1,-3.9,6.3,9.5,15.6,17.1,20,19.4,14.8,8.7,5.8,-0.7
2013,-1.6,0.1,-0.6,9.2,14.3,17.3,20.6,19.2,13.1,11.9,6,3.4
2014,1.2,4.8,7.6,11.2,13.9,17.4,22,18.2,16.2,11.3,7,2.9
2015,2.9,2.1,6,9.4,13.9,17.1,20.9,23.2,15.8,9,6.9,6.1
2016,-0.3,4.9,5.2,9.5,15.7,19.5,20.3,19,17.5,9.1,4.1,2
2017,-2.4,1.9,7.6,8.6,15,19.3,19.9,20.2,13.8,11.5,6.1,3.4
2018,3.3,-1.7,1.9,14,17.8,19.5,20.8,22,16.7,11.4,5.8,3.3
2019,0.2,3.8,7.2,11.2,12.4,22.7,20.3,21.2,15.2,11.5,7.6,4
